@@,item,itemlabel,startdate,enddate
+++,Q42814067,Mahawa Bangoura,2000,2002
+++,Q3284885,Mamady Condé,2004,2005
+++,,Fatoumata Kaba,2005,2006
+++,Q3284885,Mamady Condé,2006,2007
->,Q6344570,Abdoul Kabèlè Camara->Kabèlè Abdoul Camara,2007,2008
+++,Q2643744,Alexandre Cécé Loua,2009,2010
+++,Q4849023,Bakary Fofana,2010,2010
->,Q93429790,Édouard Nyankoye Lamah->Édouard Niankoye Lamah,2010-12-24,2012-10-06
+++,Q1451112,François Lonseny Fall,2012,2016
->,Q29292695,Makalé Camara,2015-12-26->2016,2017-08-22
->,Q109252098,Mory Sandan Kouyaté->Morissanda Kouyaté,2021-10-25,
