item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q100469635,Ousmane Doré,NormalRank,Q644131,Mamou,true,true,false,,,,
Q102264364,Ibrahima Khalil Kaba,NormalRank,Q874317,Kankan,true,true,false,,,,
Q106882714,Aissatou Baldé,NormalRank,Q3733,Conakry,true,true,false,,,,
Q106961450,Mohamed Diaré,,,,,,false,,,,
Q106961574,Mamadou Sande,,,,,,false,,,,
Q106961600,Karamokoba Camara,,,,,,false,,,,
Q106961788,Madikaba Camara,,,,,,false,,,,
Q106961880,Cheick Amadou Camara,,,,,,false,,,,
Q107022236,Mandjou Kaké,,,,,,false,,,,
Q107049865,Amara Camara,,,,,,false,,,,
Q107343007,Jean Delacroix Camara,NormalRank,Q106921455,Q106921455,true,true,false,,,,
Q108125047,Ibrahim Kalil Konaté,NormalRank,Q870191,Kankan Region,true,true,false,,,,
Q108418519,Mamadi Doumbouya,NormalRank,Q870191,Kankan Region,true,true,false,,,,
Q108426402,Zainoul Abidine Sanoussi,,,,,,false,,,,
Q108426403,Amadou Lamarana Bah,,,,,,false,,,,
Q108498017,M'Mahawa Sylla,,,,,,false,,,,
Q108498329,Mathurin Bangoura,NormalRank,Q110550055,Taigbé,true,true,true,false,true,false,false
Q108510258,Amadou Thierno Diallo guinée,,,,,,false,,,,
Q108762973,Lauriane Darboux,NormalRank,Q844850,Chabeuil,true,true,false,,,,
Q108881130,Sidiba Koulibaly,,,,,,false,,,,
Q108881137,Namory Traoré,,,,,,false,,,,
Q109044655,Aboubacar Sidiki Camara,,,,,,false,,,,
Q109044662,Bachir Diallo,,,,,,false,,,,
Q109044723,Abdourahmane Sikhé Camara,,,,,,false,,,,
Q109044739,Louopou Lamah,,,,,,false,,,,
Q109252096,Charlotte Daffé,,,,,,false,,,,
Q109252097,Mamadou Péthè Diallo,,,,,,false,,,,
Q109252098,Mory Sandan Kouyaté,NormalRank,Q731232,Kouroussa,true,true,false,,,,
Q109252099,Julien Yombouno,,,,,,false,,,,
Q109274627,Yaya Sow,,,,,,false,,,,
Q109275607,Diaka Sidibe,,,,,,false,,,,
Q109275627,Rose Pola Pricemou,,,,,,false,,,,
Q109275632,Aicha Nénette Conté,,,,,,false,,,,
Q109296974,Alpha Bacar Barry,NormalRank,Q3420127,Ratoma,true,true,false,,,,
Q109296978,Guillaume Hawing,,,,,,false,,,,
Q109296984,Bernard Goumou,,,,,,false,,,,
Q109296985,Mory Condé,,,,,,false,,,,
Q109300701,Alhassane Condé,,,,,,false,,,,
Q109375616,Mamoudou Nagnalen Barry,,,,,,false,,,,
Q109378507,Moussa Cissé,,,,,,false,,,,
Q109378535,Lanciné Condé,,,,,,false,,,,
Q109378682,Fatoumata Yarie Soumah,,,,,,false,,,,
Q109412260,Aminata Kaba,,,,,,false,,,,
Q109413676,Bill de Sam,,,,,,false,,,,
Q109439926,Ibrahima Abé Sylla,NormalRank,Q997057,Kindia,true,true,false,,,,
Q109512687,Moussa Magassouba,NormalRank,Q1100303,Siguiri,true,true,false,,,,
Q110340245,Moriba Alain Koné,,,,,,false,,,,
Q111209644,Karamoko Diawara,,,,,,false,,,,
Q111533988,Abdoul Karim Dioubaté,NormalRank,Q985362,Dubréka,true,true,false,,,,
Q112061372,Naman Keita,,,,,,false,,,,
Q112977549,Alphonse Charles Wright,NormalRank,Q862611,Boké Region,true,true,false,,,,
Q113654106,Aly Seydouba Soumah,,,,,,false,,,,
