item,itemLabel,startDate,endDate
Q1801573,Lamine Sidimé,1999-03-08,2004-02-23
Q1451112,François Lonseny Fall,2004-02-23,2004-07-15
Q739715,Cellou Dalein Diallo,2004-12-09,2006-04-05
Q1373451,Eugène Camara,2007-02-09,2007-03-01
Q1343963,Lansana Kouyaté,2007-03-01,2008-05-23
Q401526,Ahmed Tidiane Souaré,2008-05-23,2008-12-24
Q718183,Kabiné Komara,2008-12-30,2010-01-26
Q527792,Jean-Marie Doré,2010-01-26,2010-12-24
Q57875,Mohamed Said Fofana,2010-12-24,2015-12-29
Q21855433,Mamady Youla,2015-12-29,2018-05-24
Q5984807,Ibrahima Kassory Fofana,2018-05-24,2021-09-05
Q66708545,Mohamed Béavogui,2021-10-06,2022-07-17
Q109296984,Bernard Goumou,2022-07-17,
