item,itemLabel,startDate,endDate,sourceDate,psid
Q202582,Lansana Conté,1984-04-05,2008-12-22,,Q202582-5909E76C-77F5-4470-9B8B-9016E19834B4
Q314271,Moussa Dadis Camara,2008-12-24,2009-12-03,,Q314271-53BBAB5F-AAB9-4633-ADD2-6F217C0D9DB6
Q718230,Sékouba Konaté,2009-12-03,2010-12-21,,Q718230-27C35DF1-0478-4C78-99C9-11C7D2115B7E
Q4413,Alpha Condé,2010-12-21,2021-09-05,,Q4413-a1530745-4d34-d66d-0c9b-b616eb11fe49
Q108418519,Mamady Doumbouya,2021-10-01,,2022-10-13,Q108418519-D9FB51FD-F949-4CBA-A21C-979DECCB60DF
