position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q14917303,Prime Minister of Guinea,Q1006,Guinea,Q1006,Guinea,1972-01-01,,,,,,,,Q2477148,list of heads of government of Guinea
Q17110168,Minister of Justice of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q21295985,Member of the National Assembly of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q28015517,President of Guinea,Q1006,Guinea,Q1006,Guinea,1958-01-01,,,,,,,,Q815572,list of presidents of Guinea
Q54366063,Minister of Finance of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q54367251,Minister of Social Affairs of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q72407126,Minister of State of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q85853945,First Lady of Guinea,Q1006,Guinea,Q1006,Guinea,1958-10-02,,,,,,,,,
Q85854148,Minister of Defence of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q90169155,"Minister of Fisheries, Aquaculture and the Maritime Economy of Guinea",Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q96584311,High Representative of the Head of State of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822566,Minister of Budget of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822620,Minister of the Environment of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822623,Minister of Hydraulics and Sanitation of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q98822626,Minister of Territorial Administration and Decentralization of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822634,Minister of Economy and Finance of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822651,"Minister of Higher Education, Scientific Research and Innovation of Guinea",Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q98822704,Minister of Mines and Geology of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822719,Minister of Town and Regional Planning of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822750,Minister of Youth of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822766,Minister of Posts and Telecoms of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98822778,"Minister of Public Service, State Reform and Modernization of Guinea",Q1006,Guinea,,,,,,,,,,,,
Q98822861,Minister of Investments and Public-Private Partnerships,Q1006,Guinea,,,,,,,,,,,,
Q98824146,Minister of African Cooperation and Integration,Q1006,Guinea,,,,,,,,,,,,
Q98825245,Minister of Hydrocarbons of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q98960158,Minister of Livestock and Animal Production,Q1006,Guinea,Q1006,Guinea,,2021-01-01,,,Q114662305,Minister of Agriculture and Livestock,,,,
Q106938244,Minister of Information and Communication of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q107022373,ambassador of Guinea to Russia,Q159,Russia,,,,,,,,,,,,
Q107052214,ambassadeur de Guinée en France,Q142,France,,,,,,,,,,,,
Q107052262,ambassadeur de Guinée au Brésil,Q155,Brazil,,,,,,,,,,,,
Q107052274,ambassador of Guinea to Belgium,Q31,Belgium,,,,,,,,,,,,
Q107052278,ambassador of Guinea to Israel,Q1006,Guinea,,,,,,,,,,,,
Q107052282,ambassadeur de Guinée au Portugal,Q45,Portugal,,,,,,,,,,,,
Q107225945,Secretary General of Religious Affairs of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q107343242,ambassadeur de Guinée près le Saint-Siège,Q1006,Guinea,Q237,Vatican City,,,,,,,,,,
Q108881133,Chief of Staff of the Guinean Armed Forces,Q1006,Guinea,,,,,,,,,,,,
Q109120626,Minister of Transport of Guinea,,,Q1006,Guinea,,,,,,,,,,
Q109173821,ambassador of Guinea to Cuba,Q241,Cuba,Q241,Cuba,,,,,,,,,,
Q109186195,Minister Secretary-General of the Government of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q109255195,Minister of Foreign Affairs of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q109274596,Minister of Infrastructure and Transport of Guinea,Q1006,Guinea,Q1006,Guinea,,,,,,,,,,
Q109413937,"Minister of Culture, Tourism, and Handcrafts of Guinea",Q1006,Guinea,,,,,,,,,,,,
Q110548018,mayor of Kaloum,Q1006,Guinea,Q3192252,Kaloum,,,,,,,,,,
Q110549872,Governor of Conakry,Q1006,Guinea,Q1373230,Conakry Region,,,,,,,,,,
Q111738894,"Minister for the Advancement of Women, Children and Vulnerable Persons",,,Q1006,Guinea,,,,,,,,,,
Q112061360,Minister of Health of Guinea,Q1006,Guinea,,,,,,,,,,,,
Q114643016,ambassador of Guinea to South Africa,,,,,,,,,,,,,,
Q114643057,President of the National Assembly of Guinea,,,,,,,,,,,,,,
Q114643143,Minister of Technical Education and Vocational Training of Guinea,,,Q1006,Guinea,,,,,,,,,,
Q114643191,Minister of Pre-University Education and Literacy of Guinea,,,Q1006,Guinea,,,,,,,,,,
Q114643644,Minister of Security and Civil Protection of Guinea,,,Q1006,Guinea,,,,,,,,,,
Q114662305,Minister of Agriculture and Livestock,Q1006,Guinea,Q1006,Guinea,2021-01-01,,Q114662321,Minister of Agriculture,,,,,,
Q114662321,Minister of Agriculture,Q1006,Guinea,Q1006,Guinea,,2021-01-15,,,Q114662305,Minister of Agriculture and Livestock,,,,
Q114662338,Minister of Commerce,Q1006,Guinea,Q1006,Guinea,,2021-09-05,,,Q114662469,Minister of Industry and SMEs of Guinea,,,,
Q114662469,Minister of Industry and SMEs of Guinea,,,Q1006,Guinea,,,Q114662338,Minister of Commerce,,,,,,
Q114662675,Minister of Labour and Public Service,,,Q1006,Guinea,,,,,,,,,,
