position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q121998,ambassador,,,3,Q1451112
Q4426313,minister-counselor,,,2,Q106882714
Q946339,Chairperson of the African Union,,,1,Q4413
Q33108580,Member of the Parliament of the Brussels-Capital Region,,Brussels-Capital Region,1,Q2456485
Q112320696,Minister of Planning,,Republic of the Congo,1,Q109275627
Q121998,ambassador,embassy of  Guinea in Saudi Arabia,,1,Q111533988
Q121998,ambassador,embassy of guinea in Iran,,1,Q111533988
Q140686,chairperson,National Committee of Rassemblement and Development,,1,Q108418519
Q140686,chairperson,cadre permanent du dialogue politique et social,,1,Q5984807
Q5089507,chef de cabinet,Ministry of Environment and Sustainable Development,Belgium,1,Q106882714
Q2518691,defence minister,,,1,Q109044655
Q25378518,deputy director,ARPT,,1,Q96475179
Q1501800,director general,ARPT,,1,Q96475179
Q1501800,director general,Guinéenne de Large Bande,,1,Q96475179
Q1501800,director general,SOTELGUI,,1,Q96475179
Q6501749,general secretary,Democratic Party of Guinea – African Democratic Rally,<noval>,1,Q99399482
Q707492,military chief of staff,army,,1,Q113674890
Q1255921,president,Rally of the Guinean People,organization,1,Q4413
Q30461,president,Groupe de la majorité présidentielle,,1,Q96059533
Q7246152,private secretary,Présidence de la république guinéenne,,1,Q97365655
Q2403813,schepen,Ixelles - Elsene,,1,Q2456485
Q111634996,conseiller ou conseillère,Conseil national de la transition,,1,Q111533988
