ordinal,item,itemLabel,inception,inceptionPrecision,abolished,abolishedPrecision,replaces,replacesLabel,replacedBy,replacedByLabel
,Q72868314,Q72868314,2010-12-24,11,,,,,Q72868110,Q72868110
,Q72868110,Q72868110,2014-01-20,11,,,Q72868314,Q72868314,Q86675308,Q86675308
,Q86675308,Q86675308,2015-12-26,11,2018-05-17,11,Q72868110,Q72868110,Q72294573,Kassory government I
,Q72294573,Kassory government I,2018-05-26,11,,,Q86675308,Q86675308,Q104918036,2nd Kassory Cabinet
,Q104918036,2nd Kassory Cabinet,2021-01-19,11,,,Q72294573,Kassory government I,Q109046275,Béavogui Cabinet
,Q109046275,Béavogui Cabinet,2021-10-21,11,2022-08-20,11,Q104918036,2nd Kassory Cabinet,Q113568804,Goumou Cabinet
,Q113568804,Goumou Cabinet,2022-08-20,11,,,Q109046275,Béavogui Cabinet,,
