positionlabel,position
Ministre Secrétaire Général des Affaires Religieuses,Q107225945
Ministre Secrétaire Général du Gouvernement,Q109186195
Ministre de l'Environnement et du Développement Durable,Q98822620
"Ministre de la Promotion Féminine, de l'Enfance et des Personnes Vulnérables",Q114662659
"Ministre de l’Économie, des Finances et du Plan",Q98822634
"Ministre des Postes, des Télécoms et de l’Économie Numérique",Q98822766
Ministre du Budget,Q98822566
Ministre du Travail et de la Fonction Publique,Q114662675
