@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q109044655,Aboubacar Sidiki Camara,Q85854148,"Ministre délégué à la présidence de la République, chargé de la Défense Nationale->Ministre de la Défense Nationale",2021-10-21,,Q109044655-11627047-4627-73b1-4e32-51e2227db2c7
->,Q109296974,Alpha Bacar Barry,Q114643143,"Ministre de l'Enseignement Technique et de la Formation Professionnelle->Ministre de l'Enseignement Technique, de la Formation Professionnelle et de l'emploi",2021-10-27,,Q109296974-d5440213-4093-746c-0af6-e609ed9d53b9
+++,Q115273572,Elhadj Gando Barry,,Ministre des Infrastructures et des Travaux publics,,,
+++,Q115273515,Felix Lamah,,Ministre des Transports,,,
+++,Q109044739,Louopou Lamah,,"Ministre du Commerce, de l'Industrie et des Petites et Moyennes Entreprises",,,
---,Q109252097,Mamadou Pathé Diallo,Q112061360,Ministre de la Santé et de l'Hygiène Publique,2021-10-25,,Q109252097-12a7a41c-4949-5bc0-e924-fab0856fbce6
->,Q109252098,Mory Sandan Kouyaté,Q109255195,"Ministre des Affaires Étrangères, de la Coopération Internationale, de l'Intégration Africaine et des Guinéens de l'Étranger->Ministre des Affaires Étrangères, de l'Intégration Africaine et des Guinéens établis à l'Étranger",2021-10-25,,Q109252098-aaa280b5-4117-f439-40b9-016d94caa72f
->,Q109378507,Moussa Cissé,Q98822634,"Ministre de l’Économie, des Finances et du Plan->Ministre de l’Économie et des Finances",2022-08-20,,Q109378507-BCCA4BEF-54C7-4CD2-B50F-91B5AA0F13E8
+++,Q109275627,Rose Pola Pricemou,,Ministre du Plan et de la Coopération Internationale,,,
+++,Q115273720,Safiatou Diallo,,Ministre de l'Environnement et du Développement Durable,,,
+++,Q109274627,Yaya Sow,,Ministre des Infrastructures et des Travaux publics,,,
