item,itemLabel,startDate,endDate,sourceDate,psid
Q2859422,Arafan Camara,2007-03-28,2008-05-20,2022-10-13,Q2859422-76FB1107-5FC7-4433-ABD4-1E567F22C98C
Q114643672,Almamy Kabélé Camara,2008-05-19,2008-12-24,2022-10-13,Q114643672-350CFEEE-C497-4331-9ECE-1D63CFCCCE24
Q718230,Sekouba Konaté,2009-01-14,2010-01-26,2022-10-13,Q718230-B9CD585D-424A-4453-ABE2-43D4710041BE
Q6344570,Abdoul Kabele Camara,2010-12-24,2015-12-26,2022-10-13,Q6344570-F98D23EF-86E7-47E4-B0BB-4259343A1F2B
Q97365655,Mohamed Diané,2015-12-26,2021-09-05,2022-10-13,Q97365655-F9BC13D4-2E7F-4323-862A-E6F5019AC3D2
Q109044655,Aboubacar Sidiki Camara,2021-10-21,,,Q109044655-11627047-4627-73b1-4e32-51e2227db2c7
