@@,item,itemlabel,startdate,enddate
+++,Q2859422,Arafan Camara,2007-03-28,2008-05-20
+++,,Almamy Kabélé Camara,2008-05-19,2008-12-24
+++,Q718230,Sekouba Konaté,2009-01-14,2010-01-26
+++,Q6344570,Abdoul Kabele Camara,2010-12-24,2015-12-26
+++,Q97365655,Mohamed Diané,2015-12-26,2021-09-05
