@@,item,itemlabel,startdate,enddate
---,Q108426402,Zainoul Abidine Sanoussi,1999,2000
---,Q42814067,Mahawa Bangoura,2000,2002
---,Q1451112,François Lonseny Fall,2002-06,2004-02-23
---,Q3284885,Mamady Condé,2004,2005
---,Q3284885,Mamady Condé,2006,2007
---,Q6344570,Abdoul Kabèlè Camara,2007,2008
---,Q108426403,Amadou Lamarana Bah,2008,2009
---,Q2643744,Alexandre Cécé Loua,2009,2010
---,Q4849023,Bakary Fofana,2010,2010
---,Q93429790,Édouard Nyankoye Lamah,2010-12-24,2012-10-06
---,Q1451112,François Lonseny Fall,2012,2016
---,Q109252098,Mory Sandan Kouyaté,2021-10-25,
